country,continent,year,lifeExp,pop,gdpPercap,gdpPercap_log,year_orig,highlight
Afghanistan,Asia,0,28.801,8425333,779.4453145,6.65858253145061,1952,FALSE
Afghanistan,Asia,5,30.332,9240934,820.8530296,6.710344079542025,1957,FALSE
Afghanistan,Asia,10,31.997,10267083,853.10071,6.7488776061731235,1962,FALSE
Afghanistan,Asia,15,34.02,11537966,836.1971382,6.7288643965296195,1967,FALSE
Afghanistan,Asia,20,36.088,13079460,739.9811058,6.606624653169548,1972,FALSE
Afghanistan,Asia,25,38.438,14880372,786.11336,6.667101005948512,1977,FALSE
Afghanistan,Asia,30,39.854,12881816,978.0114388,6.885521366080938,1982,FALSE
Afghanistan,Asia,35,40.822,13867957,852.3959448,6.748051142822249,1987,FALSE
Afghanistan,Asia,40,41.674,16317921,649.3413952,6.475958611063048,1992,FALSE
Afghanistan,Asia,45,41.763,22227415,635.341351,6.454162415088657,1997,FALSE
Afghanistan,Asia,50,42.129,25268405,726.7340548,6.588560598778614,2002,FALSE
Afghanistan,Asia,55,43.828,31889923,974.5803384,6.882006956185797,2007,FALSE
Albania,Europe,0,55.23,1282697,1601.056136,7.3784187754675905,1952,FALSE
Albania,Europe,5,59.28,1476505,1942.284244,7.571620004773058,1957,FALSE
Albania,Europe,10,64.82,1728137,2312.888958,7.746252653296928,1962,FALSE
Albania,Europe,15,66.22,1984060,2760.196931,7.923057307977371,1967,FALSE
Albania,Europe,20,67.69,2263554,3313.422188,8.105736827926755,1972,FALSE
Albania,Europe,25,68.93,2509048,3533.00391,8.169903754066713,1977,FALSE
Albania,Europe,30,70.42,2780097,3630.880722,8.197230520971159,1982,FALSE
Albania,Europe,35,72,3075321,3738.932735,8.226555484710984,1987,FALSE
Albania,Europe,40,71.581,3326498,2497.437901,7.823020645749118,1992,FALSE
Albania,Europe,45,72.95,3428038,3193.054604,8.068733293727343,1997,FALSE
Albania,Europe,50,75.651,3508512,4604.211737,8.43472675857576,2002,FALSE
Albania,Europe,55,76.423,3600523,5937.029526,8.688964207477106,2007,FALSE
Algeria,Africa,0,43.077,9279525,2449.008185,7.803438399127065,1952,FALSE
Algeria,Africa,5,45.685,10270856,3013.976023,8.011015423945773,1957,FALSE
Algeria,Africa,10,48.303,11000948,2550.81688,7.844168931950976,1962,FALSE
Algeria,Africa,15,51.407,12760499,3246.991771,8.085484237760244,1967,FALSE
Algeria,Africa,20,54.518,14760787,4182.663766,8.338703587145247,1972,FALSE
Algeria,Africa,25,58.014,17152804,4910.416756,8.499114096208949,1977,FALSE
Algeria,Africa,30,61.368,20033753,5745.160213,8.656113077274341,1982,FALSE
Algeria,Africa,35,65.799,23254956,5681.358539,8.644945662517772,1987,FALSE
Algeria,Africa,40,67.744,26298373,5023.216647,8.521825773817342,1992,FALSE
Algeria,Africa,45,69.152,29072015,4797.295051,8.47580750701102,1997,FALSE
Algeria,Africa,50,70.994,31287142,5288.040382,8.573203018037916,2002,FALSE
Algeria,Africa,55,72.301,33333216,6223.367465,8.736066432319678,2007,FALSE
Angola,Africa,0,30.015,4232095,3520.610273,8.166389626576143,1952,FALSE
Angola,Africa,5,31.999,4561361,3827.940465,8.250082199944066,1957,FALSE
Angola,Africa,10,34,4826015,4269.276742,8.359199710611406,1962,FALSE
Angola,Africa,15,35.985,5247469,5522.776375,8.616635979311402,1967,FALSE
Angola,Africa,20,37.928,5894858,5473.288005,8.60763481263532,1972,FALSE
Angola,Africa,25,39.483,6162675,3008.647355,8.009245873018866,1977,FALSE
Angola,Africa,30,39.942,7016384,2756.953672,7.921881607110396,1982,FALSE
Angola,Africa,35,39.906,7874230,2430.208311,7.7957322573518,1987,FALSE
Angola,Africa,40,40.647,8735988,2627.845685,7.8739196583218405,1992,FALSE
Angola,Africa,45,40.963,9875024,2277.140884,7.730675936789145,1997,FALSE
Angola,Africa,50,41.003,10866106,2773.287312,7.927788650778689,2002,FALSE
Angola,Africa,55,42.731,12420476,4797.231267,8.475794211096686,2007,FALSE
Argentina,Americas,0,62.485,17876956,5911.315053,8.684623598845723,1952,TRUE
Argentina,Americas,5,64.399,19610538,6856.856212,8.833004337544303,1957,TRUE
Argentina,Americas,10,65.142,21283783,7133.166023,8.87251045734714,1962,TRUE
Argentina,Americas,15,65.634,22934225,8052.953021,8.993794138051967,1967,TRUE
Argentina,Americas,20,67.065,24779799,9443.038526,9.153033085102253,1972,TRUE
Argentina,Americas,25,68.481,26983828,10079.02674,9.218211983392335,1977,TRUE
Argentina,Americas,30,69.942,29341374,8997.897412,9.104746208135857,1982,TRUE
Argentina,Americas,35,70.774,31620918,9139.671389,9.120379710738412,1987,TRUE
Argentina,Americas,40,71.868,33958947,9308.41871,9.138674507295269,1992,TRUE
Argentina,Americas,45,73.275,36203463,10967.28195,9.302671751374756,1997,TRUE
Argentina,Americas,50,74.34,38331121,8797.640716,9.082238864066401,2002,TRUE
Argentina,Americas,55,75.32,40301927,12779.37964,9.455588185282302,2007,TRUE
Austria,Europe,0,66.8,6927772,6137.076492,8.722103766381814,1952,FALSE
Austria,Europe,5,67.48,6965860,8842.59803,9.087336007249453,1957,FALSE
Austria,Europe,10,69.54,7129864,10750.72111,9.282728111306046,1962,FALSE
Austria,Europe,15,70.14,7376998,12834.6024,9.459900115030328,1967,FALSE
Austria,Europe,20,70.63,7544201,16661.6256,9.720863485990712,1972,FALSE
Austria,Europe,25,72.17,7568430,19749.4223,9.890879519268548,1977,FALSE
Austria,Europe,30,73.18,7574613,21597.08362,9.980313566963968,1982,FALSE
Austria,Europe,35,74.94,7578903,23687.82607,10.072716527218166,1987,FALSE
Austria,Europe,40,76.04,7914969,27042.01868,10.205147182695773,1992,FALSE
Austria,Europe,45,77.51,8069876,29095.92066,10.278353259827803,1997,FALSE
Austria,Europe,50,78.98,8148312,32417.60769,10.38645700138868,2002,FALSE
Austria,Europe,55,79.829,8199783,36126.4927,10.494781744976294,2007,FALSE
Bahrain,Asia,0,50.939,120447,9867.084765,9.196959725577335,1952,FALSE
Bahrain,Asia,5,53.832,138655,11635.79945,9.361841784162335,1957,FALSE
Bahrain,Asia,10,56.923,171863,12753.27514,9.453543391325656,1962,FALSE
Bahrain,Asia,15,59.923,202182,14804.6727,9.602698132895169,1967,FALSE
Bahrain,Asia,20,63.3,230800,18268.65839,9.812942214272915,1972,FALSE
Bahrain,Asia,25,65.593,297410,19340.10196,9.86993604096857,1977,FALSE
Bahrain,Asia,30,69.052,377967,19211.14731,9.86324597860175,1982,FALSE
Bahrain,Asia,35,70.75,454612,18524.02406,9.826823766455338,1987,FALSE
Bahrain,Asia,40,72.601,529491,19035.57917,9.85406509493633,1992,FALSE
Bahrain,Asia,45,73.925,598561,20292.01679,9.917982826105911,1997,FALSE
Bahrain,Asia,50,74.795,656397,23403.55927,10.060643395334472,2002,FALSE
Bahrain,Asia,55,75.635,708573,29796.04834,10.302131057660269,2007,FALSE
Bangladesh,Asia,0,37.484,46886859,684.2441716,6.5283148299451605,1952,FALSE
Bangladesh,Asia,5,39.348,51365468,661.6374577,6.494717758944778,1957,FALSE
Bangladesh,Asia,10,41.216,56839289,686.3415538,6.531375395655606,1962,FALSE
Bangladesh,Asia,15,43.453,62821884,721.1860862,6.580897198575116,1967,FALSE
Bangladesh,Asia,20,45.252,70759295,630.2336265,6.446090586357295,1972,FALSE
Bangladesh,Asia,25,46.923,80428306,659.8772322,6.492053805899945,1977,FALSE
Bangladesh,Asia,30,50.009,93074406,676.9818656,6.517644486142878,1982,FALSE
Bangladesh,Asia,35,52.819,103764241,751.9794035,6.622708934611989,1987,FALSE
Bangladesh,Asia,40,56.018,113704579,837.8101643,6.730791540571114,1992,FALSE
Bangladesh,Asia,45,59.412,123315288,972.7700352,6.880147708105913,1997,FALSE
Bangladesh,Asia,50,62.013,135656790,1136.39043,7.035612228614056,2002,FALSE
Bangladesh,Asia,55,64.062,150448339,1391.253792,7.237960628192509,2007,FALSE
Belgium,Europe,0,68,8730405,8343.105127,9.029190743445964,1952,FALSE
Belgium,Europe,5,69.24,8989111,9714.960623,9.18142230858665,1957,FALSE
Belgium,Europe,10,70.25,9218400,10991.20676,9.304850846647033,1962,FALSE
Belgium,Europe,15,70.94,9556500,13149.04119,9.484104121639621,1967,FALSE
Belgium,Europe,20,71.44,9709100,16672.14356,9.72149455536055,1972,FALSE
Belgium,Europe,25,72.8,9821800,19117.97448,9.858384243755154,1977,FALSE
Belgium,Europe,30,73.93,9856303,20979.84589,9.951317536356102,1982,FALSE
Belgium,Europe,35,75.35,9870200,22525.56308,10.022406080166313,1987,FALSE
Belgium,Europe,40,76.46,10045622,25575.57069,10.149392904940367,1992,FALSE
Belgium,Europe,45,77.53,10199787,27561.19663,10.224164143270645,1997,FALSE
Belgium,Europe,50,78.32,10311970,30485.88375,10.325019027588773,2002,FALSE
Belgium,Europe,55,79.441,10392226,33692.60508,10.425033658433435,2007,FALSE
Benin,Africa,0,38.223,1738315,1062.7522,6.968617237337909,1952,FALSE
Benin,Africa,5,40.358,1925173,959.6010805,6.866517656954901,1957,FALSE
Benin,Africa,10,42.618,2151895,949.4990641,6.855934544575183,1962,FALSE
Benin,Africa,15,44.885,2427334,1035.831411,6.942959678882372,1967,FALSE
Benin,Africa,20,47.014,2761407,1085.796879,6.990069447088882,1972,FALSE
Benin,Africa,25,49.19,3168267,1029.161251,6.936499430068043,1977,FALSE
Benin,Africa,30,50.904,3641603,1277.897616,7.152971519052232,1982,FALSE
Benin,Africa,35,52.337,4243788,1225.85601,7.111394662616664,1987,FALSE
Benin,Africa,40,53.919,4981671,1191.207681,7.082722929468553,1992,FALSE
Benin,Africa,45,54.777,6066080,1232.975292,7.117185464034122,1997,FALSE
Benin,Africa,50,54.406,7026113,1372.877931,7.224664495042041,2002,FALSE
Benin,Africa,55,56.728,8078314,1441.284873,7.27329026764787,2007,FALSE
Bolivia,Americas,0,40.414,2883315,2677.326347,7.892573943822745,1952,FALSE
Bolivia,Americas,5,41.89,3211738,2127.686326,7.662790436401128,1957,FALSE
Bolivia,Americas,10,43.428,3593918,2180.972546,7.687526178318643,1962,FALSE
Bolivia,Americas,15,45.032,4040665,2586.886053,7.858210135216749,1967,FALSE
Bolivia,Americas,20,46.714,4565872,2980.331339,7.999789760902462,1972,FALSE
Bolivia,Americas,25,50.023,5079716,3548.097832,8.174166916893737,1977,FALSE
Bolivia,Americas,30,53.859,5642224,3156.510452,8.057222409064673,1982,FALSE
Bolivia,Americas,35,57.251,6156369,2753.69149,7.920697650500901,1987,FALSE
Bolivia,Americas,40,59.957,6893451,2961.699694,7.99351860346229,1992,FALSE
Bolivia,Americas,45,62.05,7693188,3326.143191,8.109568710840593,1997,FALSE
Bolivia,Americas,50,63.883,8445134,3413.26269,8.135423913422155,2002,FALSE
Bolivia,Americas,55,65.554,9119152,3822.137084,8.248564991242306,2007,FALSE
Bosnia and Herzegovina,Europe,0,53.82,2791000,973.5331948,6.880931922638724,1952,FALSE
Bosnia and Herzegovina,Europe,5,58.45,3076000,1353.989176,7.210810459348687,1957,FALSE
Bosnia and Herzegovina,Europe,10,61.93,3349000,1709.683679,7.444063649344297,1962,FALSE
Bosnia and Herzegovina,Europe,15,64.79,3585000,2172.352423,7.683565925258006,1967,FALSE
Bosnia and Herzegovina,Europe,20,67.45,3819000,2860.16975,7.958636255199423,1972,FALSE
Bosnia and Herzegovina,Europe,25,69.86,4086000,3528.481305,8.168622832141459,1977,FALSE
Bosnia and Herzegovina,Europe,30,70.69,4172693,4126.613157,8.325212290685116,1982,FALSE
Bosnia and Herzegovina,Europe,35,71.14,4338977,4314.114757,8.369647427661596,1987,FALSE
Bosnia and Herzegovina,Europe,40,72.178,4256013,2546.781445,7.842585662503011,1992,FALSE
Bosnia and Herzegovina,Europe,45,73.244,3607000,4766.355904,8.46933733048957,1997,FALSE
Bosnia and Herzegovina,Europe,50,74.09,4165416,6018.975239,8.702672297733029,2002,FALSE
Bosnia and Herzegovina,Europe,55,74.852,4552198,7446.298803,8.915472382958686,2007,FALSE
Botswana,Africa,0,47.622,442308,851.2411407,6.7466954500086835,1952,FALSE
