caso;escuela;tama–o_escuela;estudiante;income;stand_test_previo;sgenero;stand_exam
1;1;0,1661752;143;bottom 25%;0,6190592;F;0,2613242
2;1;0,1661752;145;mid 50%;0,2058022;F;0,1340672
3;1;0,1661752;142;top 25%;-1,364576;M;-1,723882
4;1;0,1661752;141;mid 50%;0,2058022;F;0,9675862
5;1;0,1661752;138;mid 50%;0,3711052;F;0,5443412
6;1;0,1661752;155;bottom 25%;2,1894372;M;1,7348992
7;1;0,1661752;158;top 25%;-1,116621;M;1,0396082
8;1;0,1661752;115;mid 50%;-1,03397;M;-0,129085
9;1;0,1661752;117;mid 50%;-0,538061;F;-0,939378
10;1;0,1661752;113;top 25%;-1,447227;M;-1,219486
11;1;0,1661752;112;bottom 25%;2,4373912;M;2,4086922
12;1;0,1661752;137;bottom 25%;2,1067862;M;0,6107292
13;1;0,1661752;134;mid 50%;0,0404992;M;-1,836687
14;1;0,1661752;124;bottom 25%;1,1976192;M;-0,129085
15;1;0,1661752;121;bottom 25%;2,5200432;M;2,2031212
16;1;0,1661752;205;bottom 25%;1,1149682;F;1,2405332
17;1;0,1661752;208;bottom 25%;1,0323172;F;1,7348992
18;1;0,1661752;211;bottom 25%;0,7843622;M;1,3101422
19;1;0,1661752;202;top 25%;-1,116621;M;-0,623051
20;1;0,1661752;199;top 25%;-1,199273;F;1,0396082
21;1;0,1661752;198;mid 50%;-0,372758;F;-1,029067
22;1;0,1661752;220;top 25%;-1,364576;M;-1,219486
23;1;0,1661752;221;mid 50%;-0,951318;F;0,3280722
24;1;0,1661752;212;top 25%;-2,356393;M;-0,492781
25;1;0,1661752;219;mid 50%;-0,042152;F;1,9003352
26;1;0,1661752;215;bottom 25%;0,3711052;M;0,8965662
27;1;0,1661752;172;bottom 25%;1,1149682;M;0,0735362
28;1;0,1661752;177;mid 50%;0,0404992;M;0,1941492
29;1;0,1661752;183;bottom 25%;0,6190592;F;1,5061852
30;1;0,1661752;175;bottom 25%;2,0241342;M;1,9003352
31;1;0,1661752;173;mid 50%;-0,620713;M;0,3280722
32;1;0,1661752;197;top 25%;-1,116621;M;0,8965662
33;1;0,1661752;192;mid 50%;0,2884532;M;1,6618062
34;1;0,1661752;193;mid 50%;-0,124804;M;-0,776109
35;1;0,1661752;191;bottom 25%;0,3711052;M;0,4026692
36;1;0,1661752;188;bottom 25%;1,0323172;M;0,9675862
37;1;0,1661752;223;mid 50%;-0,124804;M;0,4781942
38;1;0,1661752;27;mid 50%;0,1231502;M;0,1340672
39;1;0,1661752;28;bottom 25%;0,6190592;M;2,3136012
40;1;0,1661752;31;mid 50%;0,2884532;M;-0,197611
41;1;0,1661752;22;mid 50%;-0,290107;M;0,4781942
42;1;0,1661752;43;bottom 25%;0,7843622;M;0,8219882
43;1;0,1661752;36;mid 50%;-0,290107;F;1,0396082
44;1;0,1661752;4;mid 50%;-1,03397;F;-0,555112
45;1;0,1661752;6;mid 50%;-0,951318;M;-1,335315
46;1;0,1661752;7;top 25%;-2,356393;M;-0,555112
47;1;0,1661752;1;bottom 25%;0,7843622;F;1,5061852
48;1;0,1661752;19;mid 50%;-0,372758;M;-0,939378
49;1;0,1661752;16;bottom 25%;0,7843622;F;2,3136012
50;1;0,1661752;17;mid 50%;-0,703364;F;-0,062088
51;1;0,1661752;14;mid 50%;0,0404992;M;-0,197611
52;1;0,1661752;13;mid 50%;-0,290107;M;-0,197611
53;1;0,1661752;109;bottom 25%;1,6108772;F;2,0397092
54;1;0,1661752;84;bottom 25%;0,3711052;F;1,6618062
55;1;0,1661752;86;bottom 25%;1,6108772;F;1,4395322
56;1;0,1661752;88;bottom 25%;0,3711052;F;0,3280722
57;1;0,1661752;82;mid 50%;-0,042152;F;0,0735362
58;1;0,1661752;80;mid 50%;-0,290107;F;0,9675862
59;1;0,1661752;105;mid 50%;-0,620713;F;-1,029067
60;1;0,1661752;108;bottom 25%;1,6108772;M;1,7348992
61;1;0,1661752;95;bottom 25%;1,1976192;F;2,4086922
62;1;0,1661752;90;mid 50%;-0,620713;M;-1,526653
63;1;0,1661752;56;bottom 25%;0,8670142;M;1,4395322
64;1;0,1661752;61;bottom 25%;0,5364082;F;1,5061852
65;1;0,1661752;62;bottom 25%;0,4537562;M;1,8138272
66;1;0,1661752;63;bottom 25%;1,2802712;F;0,7472282
67;1;0,1661752;59;top 25%;-1,281924;M;-1,029067
68;1;0,1661752;57;mid 50%;-0,124804;M;-0,129085
69;1;0,1661752;73;mid 50%;0,2058022;M;1,5792202
70;1;0,1661752;68;bottom 25%;1,6935282;M;1,3101422
71;1;0,1661752;64;mid 50%;-0,868667;F;-1,118624
72;1;0,1661752;65;bottom 25%;0,8670142;M;0,8965662
73;1;0,1661752;66;mid 50%;0,3711052;M;0,2613242
74;2;0,3951492;100;mid 50%;0,1231502;F;1,5792202
75;2;0,3951492;96;bottom 25%;0,7017112;F;1,2405332
76;2;0,3951492;95;mid 50%;0,2884532;F;0,6107292
77;2;0,3951492;108;bottom 25%;0,7017112;F;0,4781942
78;2;0,3951492;102;mid 50%;-0,620713;F;-1,118624
79;2;0,3951492;104;bottom 25%;1,2802712;F;1,7348992
80;2;0,3951492;109;bottom 25%;0,6190592;F;2,4086922
81;2;0,3951492;77;bottom 25%;0,9496652;F;2,9246672
82;2;0,3951492;78;mid 50%;-0,45541;F;2,7018012
83;2;0,3951492;75;bottom 25%;1,1976192;F;1,3101422
84;2;0,3951492;91;bottom 25%;1,0323172;F;1,5061852
85;2;0,3951492;84;top 25%;-1,281924;F;-0,129085
86;2;0,3951492;87;mid 50%;-0,538061;F;-0,129085
87;2;0,3951492;134;bottom 25%;1,3629222;F;0,6107292
88;2;0,3951492;135;bottom 25%;1,0323172;F;3,1340482
89;2;0,3951492;132;bottom 25%;1,2802712;F;2,2031212
90;2;0,3951492;131;mid 50%;0,3711052;F;0,5443412
91;2;0,3951492;143;mid 50%;-0,45541;F;-0,623051
92;2;0,3951492;137;mid 50%;0,0404992;F;1,4395322
93;2;0,3951492;138;mid 50%;-0,290107;F;1,0396082
94;2;0,3951492;110;mid 50%;-0,620713;F;0,0043222
